Job Title,Company Name,Location,Full-time / Part-time,Sector or Industry,Number of Applicants,Job Description
"Consultancy: Pipeline Manager, CFYE Egypt",Challenge Fund for Youth Employment,"Cairo, Egypt",Part-time · Mid-Senior level,null,89 applicants,"About the job
About the Programme:
The Challenge Fund for Youth Employment (CFYE) is a 6-year and €114 million programme funded by the Netherlands Ministry of Foreign Affairs, that aims to create a prosperous future for 200,000 young women and men in the Middle East, North Africa, Sahel & West Africa and Horn of Africa regions. The Fund will be supporting initiatives in 23 countries that will offer youth, in particular young women, opportunities for work that is demand-driven and productive, offering a stable income and safe working conditions, and that is contributing to their personal development and social protection."
Guest Experience Agent - Crowne Plaza West Cairo - Arkan,IHG Hotels & Resorts,"Cairo, Cairo, Egypt",Full-time · Entry level,null,168 applicants,"About the job
About Us

Crowne Plaza is a global chain of full service, upscale hotels headquartered in the United Kingdom. It caters to business travelers and the meetings and conventions market. It is part of the (IHG) InterContinental Hotels Group family of brands, which include InterContinental Hotels & Resorts, Holiday Inn Hotels & Resorts, Voco, Staybrige Suites, Kimpton Hotels and Regent. As one of the world's largest upscale brands, we have properties located in major urban centers, gateway cities and resort destinations all around the globe and can be found in nearly 100 countries with more than 429 hotels and 118,000 rooms globally.

Since opening in 2012 Arkan Plaza has evolved into West Cairo’s primary commercial and social destination, offering a multitude of retail and dining outlets along with gyms, banks and offices. All radiating from its welcoming central plaza, situated in the heart of Sheikh Zayed located on the 26th of July corridor main spine, which connects the cities of Sheikh Zayed and 6th of October with the central Cairo area.

Crowne Plaza West Cairo - Arkan is scheduled to open in 2021, the 178-room new build will form part of Phase II of Arkan Plaza. The Hotel is 10 minutes away from the “new” Grand Egyptian Museum and 15 minutes from the Great Pyramids of Giza. It is also in close proximity to Cairo International Airport and will be just 10 kilometers away from Sphinx International Airport. Business and leisure travelers can get the best of both worlds with three meeting rooms and a business center along with an outdoor pool and Club Lounge

We are currently looking for a Guest Experience Agent to join our amazing pre-opening team.

Your day to day

At the moment we're looking for a Guest Experience Agent to join our energetic, enthusiastic and passionate team. As a Guest Experience Agent, you’ll need to have the passion to work in hospitality and to always put the guest at the center of everything you do creating the warm atmosphere that makes our guests feel at home away from home. As a Guest Experience Agent, you will be responsible in ensuring a remarkable arrival experience of the guests from the allocation of the room, meeting the guest booking request and seamless check-in procedure. You will also be responsible in making sure that the guest will have an efficient and accurate check-out process.

What we need from you


What we offer

In return we offer competitive pay and benefits, and a chance to work with a great team of talented people. Most importantly, we'll give you the Room to be yourself.

So what's your passion? Please get in touch if this position matches your skills and interests and tell us how you could bring your individual competencies by clicking ""Apply Online"".

We are an equal opportunity employer."
PrQSM Infra Egypt-CL3 & BSA,Alstom,"Cairo, Cairo, Egypt","10,001+ employees · Truck Transportation",null,23 applicants,"About the job
Req ID: [[236162]]

Leading societies to a low carbon future, Alstom develops and markets mobility solutions that provide the sustainable foundations for the future of transportation. Our product portfolio ranges from high-speed trains, metros, monorail, and trams to integrated systems, customised services, infrastructure, signalling and digital mobility solutions. Joining us means joining a caring, responsible, and innovative company where more than 70,000 people lead the way to greener and smarter mobility, worldwide
































Alstom is the leading company in the mobility sector, solving the most interesting challenges for tomorrow’s mobility. That’s why we value inquisitive and innovative people who are passionate about working together to reinvent mobility, making it smarter and more sustainable. Day after day, we are building an agile, inclusive and responsible culture, where a diverse group of people are offered opportunities to learn, grow and advance in their careers, with options across functions and geographic locations. Are you ready to join a truly international community of great people on a challenging journey with a tangible impact and purpose?



Alstom is an equal opportunity employer committed to creating an inclusive working environment where all our employees are encouraged to reach their full potential, and individual differences are valued and respected. All qualified applicants are considered for employment without regard to race, colour, religion, gender, sexual orientation, gender identity, age, national origin, disability status, or any other characteristic protected by local law.

Job Type: [[Quality Management]]"
Blue Team Consultant,Cysiv,"Cairo, Egypt",Full-time · Associate,null,56 applicants,"About the job
We are looking for an enthusiastic information security professional with eagerness to learn and grow professionally. Blue team consultants will interact directly with Cysiv’s customers to develop compliance and security programs based on international security standards as well as international and local legislations. Also, this role will assess security architecture and associated technologies against best practices including infrastructure components and IT security controls."
Talent Acquisition Lead,EMPG,"Cairo, Cairo, Egypt",Full-time · Associate,null,Over 200 applicants,"About the job
Description

We are looking for an experienced Talent Acquisition Lead to help our company find and retain excellent employees. You will be entrusted with an ongoing quest to discover talent, build a strong employment brand and ensure great relationships with both candidates and employees. To excel as Talent Acquisition Lead we expect you to be experienced in full-cycle recruiting and employment branding. You should have a sharp eye for talented people and a steady commitment to help them find success in our company."
Poultry Technical Manager - Egypt,Zoetis Inc.,"Cairo, Cairo, Egypt",Full-time · Mid-Senior level,null,134 applicants,"About the job
Position Summary:



Responsible to develop technical support, training and update for all Zoetis employees concerning the products, animal diseases, competitors' profiles, outbreaks.













*Veterinary Medicine Education background.
*Master's degree is a must / Doctorate degree is a plus.
*Minimum 8 years of experience.
*Professional and well reputable scientific background-Research degree is preferable.
*High presentation and communication skills.
*Active, persuasive. Has leadership skills and ability to develop atmosphere of teamwork and loyalty.
*Persistence and able to work under pressure, able to plan and organize activities and resources."
Senior React Developer,Toptal,"Alexandria, Alexandria, Egypt",Contract · Mid-Senior level,null,4 applicants,"About the job
About The Job

Toptal developers work with speed and efficiency to deliver the highest quality of work. We are looking for someone who is passionate about their client’s business, and ready to work on exciting projects with Fortune 500 companies and Silicon Valley startups, with great rates and zero hassles. If you are looking for a place to advance your career, enhance your skill set, and build connections around the globe, Toptal is right for you.



Toptal is an exclusive network of top freelancers from around the world. Fortune 500 companies and Silicon Valley startups hire Toptal for their most important projects. Toptal is one of the fastest-growing fully remote networks and empowers freelance software developers, designers, finance experts, product managers, and project managers worldwide to grow and excel in their freelance careers.

Toptal clients vary in sizes and industries, from enterprise organizations and big tech companies to Silicon Valley startups and renowned universities. Once you enter the network, our matchers will contact you with project opportunities that fit your expertise and preferences. We have experts in over 120 countries who get to work remotely on projects that meet their career ambitions.



We are looking for a great developer who is proficient with React.js. Your primary focus might vary from: (1) developing new user-facing features using React.js, (2) translating designs and wireframes into high-quality code, (3) building reusable components and front-end libraries for future use, and (4) optimizing components for maximum performance across a vast array of web-capable devices and browsers. A commitment to collaborative problem solving, sophisticated design, and quality product is essential.





If you’re interested in pursuing an engaging career working on full-time freelance jobs for exclusive clients, take the next step by clicking apply and filling out the short form to get started.

#RemoteJobReact"
French GLCM Digital Customer Service Specialist GSC's,HSBC,"Cairo, Cairo, Egypt",Full-time,null,Over 200 applicants,"About the job
Job Description

Why join us?

HSBC Technology and Services

HSBC Technology and Services is a pivotal part of the Group, providing essential operational and technical support to our global businesses and helping improve customer service and efficiency.



Global Service Delivery is a business-aligned, customer-servicing organization with the primary objective of driving operational excellence across our businesses worldwide. Achieving this through the consolidation, simplification and continuous improvement of processes across the full range of HSBC operations, the division simultaneously takes responsibility for managing operational, location and processing risk and ensuring that services provided are at a best-in-class price point for the required quality level.



The GLCM Operations COE is part of HOST Operations and delivers a centralized operations utility for HSBC's Corporate Digital Channels (including HSBCnet, Host-to-Host Connect, and SWIFT net) supporting payments, cards, receivables, liquidity, trade, supply chain finance, custody, securities services, and money market trading solutions globally across Europe, Asia, Middle East, North and Latin America. Over 700 million payment transactions valued at over $10 USD trillion is processed through the channel annually.

The team caters to CMB and GB&M customers of HSBC and provides service and support for the customer digital lifecycle across GLCM, GTRF, and HSS products. It spans across 5 Global Service Centers (Bangalore, Hyderabad, Guangzhou, Kuala Lumpur, Krakow and Cairo) and 1 Onshore Operations Service Centre (Mexico). The COE focusses on wider business activities performed by GLCM Client Management, including Client Implementation, and Client Servicing activities.

The Client Servicing team in GSC supports Tier 1 to 3 clients on queries related to channels, payments, account services through Mails. Team also supports different type of enquiries and follow-up on amendment/ cancellations, return funds, charge details, training, troubleshooting file upload issues, statement retrieval etc.
















HSBC is an equal opportunity employer committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and, opportunities to grow within an inclusive and diverse environment. We encourage applications from all suitably qualified persons irrespective of, but not limited to, their gender or genetic information, sexual orientation, ethnicity, religion, social status, medical care leave requirements, political affiliation, people with disabilities, color, national origin, veteran status, etc., We consider all applications based on merit and suitability to the role.”

Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website."
Acquisition Associate - Jumia (Full Time),Jumia Group,"Cairo, Cairo, Egypt",Full-time · Associate,null,17 applicants,"About the job
Jumia is a leading e-commerce platform in Africa. It is built around a marketplace, Jumia Logistics, and JumiaPay. The marketplace helps millions of consumers and sellers to connect and transact. Jumia Logistics enables the delivery of millions of packages through our network of local partners.

JumiaPay facilitates the payments of online transactions for Jumia's ecosystem. With over 1 billion people and 500 million internet users in Africa, Jumia believes that e-commerce is making people's lives easier by helping them shop and pay for millions of products at the best prices wherever they live. E-commerce is also creating new opportunities for SMEs to grow, and job opportunities for a new generation to thrive.

With over 5,000 employees in more than 10 countries in Africa, Jumia is led by top talented leaders offering a great mix of local and international talents and is backed by very high-profile shareholders. Jumia is committed to creating sustainable impact in Africa. Jumia offers unique opportunities in a vibrant and booming environment, creating new jobs, new skills, and empowering a new generation.

An Acquisition Associate is required to facilitate the sourcing and signing up of Leads (Vendors) with high potential of partnering with Jumia Food."
QA/ Process Improvement Engineer,Incorta,"Cairo, Egypt",Full-time · Mid-Senior level,null,95 applicants,"About the job
Job Requirements:

3+ years experience in the software domain.
Experience in Process Improvement/Mapping/Auditing/Process QA."
Buyer,noon,"Cairo, Egypt",Full-time · Mid-Senior level,null,Over 200 applicants,"About the job
About noon
noon.com is a technology leader with a simple mission: to be the best place to buy and sell things. In doing this we hope to accelerate the digital economy of the Middle East, empowering regional talent and businesses to meet the full range of consumers' online needs."
"People BI Specialist (Bangkok Based, Relocation Provided)",Agoda,"Giza, Al Jizah, Egypt",Full-time · Associate,null,16 applicants,"About the job
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.



The People Team is a purveyor of opportunity, searching the globe for the most talented individuals and offering them an open, collaborative workplace. By prioritizing skill and potential, we have cultivated a powerful assembly of professionals through our drive for equal opportunity and diversity. We make the move to Agoda a breeze with assisted onboarding programs, and we continue to support and enrich our thousands of Agoda employees through individual growth with outstanding learning programs and various means of assistance. Our development of incredible benefits has ensured everyone can stay strong, healthy, and happy during their time at Agoda. Leading ambitious changes and making a positive impact in the lives of our employees, the People Team is a crucial and rewarding part of the Agoda family.



We are looking for a  People BI Specialist  whose main focus areas are providing visibility and insights for people related issues through Business Intelligence tools like Tableau and SQL, managing data warehouses, building ETL processes, and helping build other BI tools to optimize the business. This would entail liaising with key stakeholders in the people team, people technology, and IT to provide the data tools and support necessary for the business.













#STRA#ANLS#MRKT#3 #sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #washdc #tirana #yerevan #sydney #melbourne #perth #vienna #graz #linz #baku #minsk #brussels #antwerp #ghent #charleroi #liege #saopaolo #sofia #toronto #vancouver #montreal #shanghai #beijing #shenzhen #zagreb #cyprus #prague #Brno #Ostrava #copenhagen #cairo #alexandria #giza #estonia #helsinki #paris #nice #marseille #rouen #lyon #toulouse #tbilisi #berlin #munich #hamburg #stuttgart #cologne #frankfurt #dusseldorf #dortmund #essen #Bremen #leipzig #dresden #hanover #nuremberg #athens #hongkong #budapest #bangalore #newdelhi #jakarta #bali #bandung #dublin #telaviv #milan #rome #naples #turin #palermo #venice #bologna #florence #tokyo #osaka #yokohama #nagoya #okinawa #fukuoka #sapporo #amman #irbid #riga #beirut #tripoli #vilnius #luxembourg #kualalumpur #malta #chisinau #amsterdam #oslo #jerusalem #manila #warsaw #krakow #sintra #lisbon #porto #braga #cascais #loures #amadora #almada #doha #alrayyan #bucharest #moscow #saintpetersburg #riyadh #jeddah #mecca #medina #belgrade #singapore #bratislava #capetown #johannesburg #seoul #barcelona #madrid #valencia #seville #bilbao #malaga #oviedo #alicante #laspalmas #zaragozbanga #stockholm #zurich #geneva #basel #taipei #tainan #taichung #kaohsiung #Phuket #bangkok #istanbul #ankara #izmir #dubai #abudhabi #sharjah #london #manchester #liverpool #edinburgh #kiev #hcmc #hanoi #sanaa #taiz #aden #gibraltar #marrakech #lodz #wroclaw #poznan #Gdansk #szczecin #bydgoszcz #lublin #katowice #rio #salvador #fortaleza #brasilia #belo #belem #manaus #curitiba #portoalegre #saoluis data representation data analysis SQL data analytics analytics python (programming language) data mining data science r (programming language) tableau analytical skills data visualization databases business analysis business intelligence (bi) microsoft sql server machine learning statistics microsoft power bi java finance shopee traveloka google facebook ctrip trip.com makemytrip grab amazon pandas (software) artificial intelligence (ai) information technology capital one accenture upwork deloitte mckinsey bain microsoft uber lyft gojek lazada alibaba shopify expedia skyscanner



At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
Learning Consultant,GP Strategies Corporation,"New Cairo, Cairo, Egypt",Full-time · Associate,null,Over 200 applicants,"About the job
GP Strategies are now looking for a Learning Consultant to work in partnership with our client to understand their learning needs, and to plan and deliver learning solutions to meet the business objectives.

This role will involve a hybrid approach of partial remote working and some time spent at the client site in Cairo.



GP Strategies has been on the cutting edge of innovative performance improvement solutions for over 50 years. Serving more than 16 diverse industries, GP Strategies is a leader in managed learning services, digital learning strategies & solutions, leadership development, human capital management solutions, sales and technical training, and engineering services. Our commitment to crafting impactful solutions and delivering extraordinary service helps us attract the brightest minds—professionals who are aligned with our core vision and values. As one of the few truly global performance improvement companies out there, our services, solutions, and technologies empower companies to perform above their potential.



You'll support consultation with the client to understand and address the business' learnig needs, and partner with the project office to ensure that the proposed learning interventions are relevant, aligned to business goals and delivered to a high quality in a cost effective way.





An experienced Learning professional with broad knowledge of learning interventions and proven experience in the field.



Diversity comes naturally to us at GP Strategies. With more than 4000 employees in over 30 countries, being diverse is second nature. Yet, it’s more than just about location, our style focuses on performance and revolves around respect, fairness and working collectively to achieve our goals. We support our people, no matter who they are, or where they are from because they have different perspectives and attitudes. That’s how ideas are born and enable us to work smarter.

It just makes sense that we cater for a range of different circumstances, offering flexible work practices designed to let you fit in work around your life, not the other way around.



EG-EG-New Cairo



Technical and Professional



EGY 407 GPS Egypt



Regular



Full-time



Dec 30, 2021, 7:40:52 AM"
Senior Consultant WWCC GMC – Spanish/Italian/French Speaker,VMware,"Cairo, Cairo, Egypt",Full-time,null,14 applicants,"About the job
The Elevator Pitch: Why will you enjoy this new opportunity?

The most advanced companies in the world turn to VMware to manage, grow, and transform their business. When you work here, you're connected to a global community of innovative, empowered employees working together to solve the most critical technology challenges. The World Wide Consulting Centers (WWCC) organization aims to provide a centralized world-class professional services delivery through a global BU with co-located sites that drive adoption and improved margin at scale.

Part of the WWCC is the Global Migration Center (GMC) whose main focus is accelerating customer journeys by providing technology-driven services using specialized tool chains and skilled resources committed to rapidly delivering successful application workload rehosting engagements such as P2V, V2V, V2C as well as VMC on AWS and Azure.

As a Senior Consultant, you have the opportunity to join our growing project delivery practice, focusing on GNC activities. Become a member of our collaborative and supportive work environment and help us drive innovation!











The hiring manager for this role is Mohamed Mortada, Senior Manager, WWCC. His expertise has been shaped by 12 years in the IT industry in Delivery roles, both technical and project management, based on the last seven years straight in regional delivery management across Europe.

Mohamed's management style is based on enablement and empowerment. As part of his team, you will be sharing both the success of the group as well as the responsibilities thus maximizing your contribution to the progress of the BU and allowing you to grow and sharpen your skills profile.

The team is made of project managers and technical consultants, all operating on the frontline with our customer, sales teams and technical staff within VMware in Europe, the Middle East and Americas. The team works flexible hours without alignment to a certain region or Geo and every individual is expecting to rotate between the mentioned Geos iteratively.



This role is based out of VMware's Cairo (Egypt) office and is open to candidates in the surrounding Egypt.



You and your loved ones will be supported with a competitive and comprehensive benefits package. Below are some highlights, or you can view the complete benefits package by visiting www.benefits.vmware.com.



Services and Consulting

Consultant

Manager and Professional

Full Time

2022-03-08

VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.

Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law."
Data Protection Engineer,VAS Integrated Solutions,"Cairo, Egypt",Full-time · Entry level,null,24 applicants,"About the job
Key Responsibility
· Responsible for complete Implement, maintain & Integrate, Data Protection Solutions
Install Data Protection products
· Configure DPS Solution as required by the Project"
Sales Support Associate,One Identity,"Hu, Egypt",Full-time · Associate,null,97 applicants,"About the job
Overview

Quest is looking for a Deal Registration Associate who would like to join our global team. This individual will work closely with the channel business to approve valid registrations. The role requires excellent attention to detail, quick decision-making skills, the ability to manage numerous tasks daily, and to work independently at a high level.

Successful candidates will be experienced in CRM systems, Salesforce is a distinct advantage, and have a positive attitude whilst working in a dynamic, fast-paced, and cross-functional role. Someone who is eager to learn and gain experience in an international environment.

The Deal Registration Associate will be responsible for processing partner deal registration requests for our global partners within the Partner Operations team in Quest.







One Identity enables organizations of all sizes to better secure, manage, monitor, protect, and analyze information and infrastructure to help fuel innovation and drive their businesses forward. With team members around the globe, we intend to continue to grow revenues and add value to customers.

When you join our team, you will have the opportunity to build and develop products at a scale few others can provide. Our product portfolio serves a large base of customers and we are addressing the strategic imperatives for enterprise businesses. Working with some of the most talented employees the industry has to offer, we provide enhanced career opportunities for team members to learn and grow in a rapidly changing environment.

Why work with us?

One Identity is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: One Identity is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at One Identity are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. One Identity will not tolerate discrimination or harassment based on any of these characteristics. One Identity encourages applicants of all ages.

Come join us. For more information, visit us on the web at One Identity Careers | Explore Opportunities with the OI Team

Job seekers should be aware of fraudulent job offers from online scammers and only apply to roles listed on quest.com/careers using our applicant system. Note: We do not use text messaging or third-party messaging apps like Telegram to communicate with applicants, so please exercise caution if you are approached in this way and only interact with people claiming to be Quest employees if they have an email address ending in @quest.com or @oneidentity.com"
HSE Manager,ELSEWEDY ELECTRIC,"Cairo, Egypt",Full-time · Mid-Senior level,null,Over 200 applicants,"About the job
Business Line:
Wires & Cables

Location:
10th of Ramadan"
Senior PHP Developers,RoQaY,"El Mansoura, Ad Daqahliyah, Egypt",Full-time,null,17 applicants,"About the job
We’re Hiring at RoQay, Mansoura Office:
– Senior Backend Developer ( Laravel framework)
Location: Mansoura
Full-Time work from our office only"
Senior Java Developer,SGT Egypt,"Cairo, Egypt",Full-time,null,7 applicants,"About the job
3 to 6 years of experience in Spring Boot.
· Good knowledge in Design Patterns.
· Unit Testing using Junit and Mockito.
· Documenting using Swagger: API Documentation.
· Experience working with tools like Git, Maven"
Senior Sales Engineer,Iken,"New Cairo, Cairo, Egypt",Full-time,null,41 applicants,"About the job
Due to our expanding & company growth, We are looking for immediately hiring:

Senior Sales Engineer
The targeted candidates should have a excellent relationships & solid sales experience in selling ICT products and solutions or Petroleum Services to customers in Oil & Gas sector."
Editor,"Soliman, Hashish & Partners","Cairo, Egypt",Full-time,null,180 applicants,"About the job
We are now hiring an Editor with at least 3 years of relevant experience to help us keep growing with the following responsibilities and qualifications:
Responsibilities:
Rewrite"
HR Assisstant (Remote),Accountants on Air,"Cairo, Cairo, Egypt",null,null,Over 200 applicants,"About the job
Develop and implement HR strategies and initiatives aligned with the overall business strategy.
Bridge management and employee relations by addressing demands, grievances or other issues.
Manage the recruitment and selection process.

Maintain pay plan and benefits program."
This page isn’t working,null,null,null,null,Over 200 applicants,null
Head of Legal Counsel,ArabyAds,"Cairo, Egypt",Full-time,null,Over 200 applicants,"About the job
As our Head Legal Counselor, you are expected to oversee the legal aspects of our business and to ensure high level of legal governance and compliance, as well as provide strategic guidance, consultation, and support.
Principal Duties & Responsibilities"
SAP B1 Consultant,El Sewedy Electrometer Group,"6th of October, Al Jizah, Egypt",Full-time,null,108 applicants,"About the job
SAP-B1 software installation, configuration & training as per plan
Design & Document current & Future business processes
Customizing forms and developing reports using Crystal Reports [ Must]"
Senior Go Developer,Toptal,"Dahab, South Sinai, Egypt",Contract · Mid-Senior level,null,Over 200 applicants,"About the job
About The Job

Toptal developers work with speed and efficiency to deliver the highest quality of work. We are looking for someone who is passionate about their client’s business, and ready to work on exciting projects with Fortune 500 companies and Silicon Valley startups, with great rates and zero hassles. If you are looking for a place to advance your career, enhance your skill set, and build connections around the globe, Toptal is right for you.



Toptal is an exclusive network of top freelancers from around the world. Fortune 500 companies and Silicon Valley startups hire Toptal for their most important projects. Toptal is one of the fastest-growing fully remote networks and empowers freelance software developers, designers, finance experts, product managers, and project managers worldwide to grow and excel in their freelance careers.

Toptal clients vary in sizes and industries, from enterprise organizations and big tech companies to Silicon Valley startups and renowned universities. Once you enter the network, our matchers will contact you with project opportunities that fit your expertise and preferences. We have experts in over 120 countries who get to work remotely on projects that meet their career ambitions.



We are looking for a great Go developer who has a strong understanding of how best to leverage and exploit the language’s unique paradigms, idioms, and syntax. Your primary focus will be on developing Go packages and programs that are scalable and maintainable. You will ensure that these Go packages and programs are well documented and have reasonable test coverage. A commitment to collaborative problem solving, sophisticated design, and quality product is essential.



If you’re interested in pursuing an engaging career working on full-time freelance jobs for exclusive clients, take the next step by clicking apply and filling out the short form to get started.

#RemoteJobGo"
"Assistant Coordinator, Tomorrow’s Leaders Undergraduate Program, Grant Position",The American University in Cairo,"Cairo, Egypt",Full-time · Associate,null,Over 200 applicants,"About the job
Purpose: The job holder is responsible for supporting the leadership coordinators in providing meaningful experiences to the Tomorrow’s Leaders Undergraduate (TLU) students to enhance their performance and competencies. S/he handles all program’s administrative duties including student selection, recruitment and training. S/he assists the leadership coordinator, TLU program and the academic directors in designing and implementing work plans, and is responsible for the organization of all training activities, workshops and retreats. S/he works closely with the academic advising unit and respective departments to ensure that students successfully meet their graduation requirements, including registering for transferable courses during their semester abroad."
Senior Go Developer,Toptal,"Port Said, Bur Sa'id, Egypt",Contract · Mid-Senior level,null,Over 200 applicants,"About the job
About The Job

Toptal developers work with speed and efficiency to deliver the highest quality of work. We are looking for someone who is passionate about their client’s business, and ready to work on exciting projects with Fortune 500 companies and Silicon Valley startups, with great rates and zero hassles. If you are looking for a place to advance your career, enhance your skill set, and build connections around the globe, Toptal is right for you.



Toptal is an exclusive network of top freelancers from around the world. Fortune 500 companies and Silicon Valley startups hire Toptal for their most important projects. Toptal is one of the fastest-growing fully remote networks and empowers freelance software developers, designers, finance experts, product managers, and project managers worldwide to grow and excel in their freelance careers.

Toptal clients vary in sizes and industries, from enterprise organizations and big tech companies to Silicon Valley startups and renowned universities. Once you enter the network, our matchers will contact you with project opportunities that fit your expertise and preferences. We have experts in over 120 countries who get to work remotely on projects that meet their career ambitions.



We are looking for a great Go developer who has a strong understanding of how best to leverage and exploit the language’s unique paradigms, idioms, and syntax. Your primary focus will be on developing Go packages and programs that are scalable and maintainable. You will ensure that these Go packages and programs are well documented and have reasonable test coverage. A commitment to collaborative problem solving, sophisticated design, and quality product is essential.



If you’re interested in pursuing an engaging career working on full-time freelance jobs for exclusive clients, take the next step by clicking apply and filling out the short form to get started.

#RemoteJobGo"
"ETIC, Oracle ERP/SCM Consultant - Manager (Egypt)",PwC Middle East,"Cairo, Cairo, Egypt",Full-time · Mid-Senior level,null,62 applicants,"About the job
Line of Service

Advisory

Industry/Sector

Technology



Advisory - Other



Manager





PwC is opening a new Technology & Innovation Center in Cairo that will deliver high quality technology solutions to consulting Clients across the globe. The Centre will provide a broad suite of skills and services to our clients, ranging from Packaged Applications such as SAP & Oracle, to Cloud services utilising AWS, Azure and Google, as well as expanding our existing Managed Services capabilities.

The center is looking to expand rapidly and we are looking for enthusiastic self-starters with a passion for technology and client delivery to help shape and form this new venture.

We are seeking to recruit Oracle ERP/SCM Consultants to join our team in Cairo. The successful candidate will have a minimum of 3 full lifecycle implementation projects covering ERP Financials or Supply Chain Management (SCM) modules. They will have implementation experience in 3 or more Oracle modules within the relevant area

You will report to the Service Delivery Director and will be an integral part of the team based in Cairo, as well as those delivering client transformation programmes across the PwC Global Network, including the UK, Germany and Middle East.

As an Oracle ERP/SCM Consultant, you will play a key role in the following areas:











Degrees/Field of Study preferred:











Not Specified



Yes



No"
Account Manager,Envision Employment Solutions,"Giza, Al Jizah, Egypt",Part-time · Entry level,null,67 applicants,"About the job
Ready and hungry for a new adventure? You are definitely in the right place! We at Envision Employment Solutions are always on the look for top talents around the globe and matching them with our partners' hiring needs, to help them build and scale!

Our partners offer awesome work environment, competitive salaries, full benefits, and many others.

Our Hiring Process:


_________________________________________________________________________________________________

Envision Employment Solutions is currently on the look for Account Managers for one of our partners, a B2B marketplace.

Job Summary:

Our partner is looking for Someone who will be responsible for monitoring and managing the performance for existing Wholesalers in terms of (Number of orders - GMV and growth rate).

Responsibilities:


We are looking for you if:


Requirements:


What our partner offer:


Envision Employment Solutions is proud to be an equal opportunity workplace dedicated to pursuing and hiring a diverse workforce. Come join us!"
